指标名称,钢材价格指数:螺纹钢:Φ12-25,收盘价:螺纹指数,热卷:中国:市场价,收盘价:热卷指数
2006/4/14,89.34,,,
2006/4/21,89.94,,,
2006/4/28,89.8,,,
2006/5/12,90.22,,,
2006/5/19,91.25,,,
2006/5/26,92.67,,,
2006/6/2,94.03,,,
2006/6/9,95.57,,,
2006/6/16,95.99,,,
2006/6/30,94.6,,,
2006/7/14,89.74,,,
2006/7/21,86.9,,,
2006/7/28,86.62,,,
2006/8/4,85.76,,,
2006/8/11,86.02,,,
2006/8/18,86.19,,,
2006/8/25,86.87,,,
2006/9/1,86.81,,,
2006/9/8,87.87,,,
2006/9/15,87.64,,,
2006/9/22,87.61,,,
2006/9/29,87.81,,,
2006/10/13,87.81,,,
2006/10/20,87.38,,,
2006/11/10,87.18,,,
2006/11/17,87.38,,,
2006/11/24,87.87,,,
2006/12/1,87.67,,,
2006/12/8,88.35,,,
2006/12/15,87.89,,,
2006/12/22,87.95,,,
2007/1/12,89.8,,,
2007/1/19,91.33,,,
2007/1/26,92.19,,,
2007/2/9,93.86,,,
2007/2/16,94.4,,,
2007/3/16,94.91,,,
2007/3/23,94.86,,,
2007/3/30,94.63,,,
2007/4/6,94.71,,,
2007/4/13,94.94,,,
2007/4/20,95.6,,,
2007/4/27,97.56,,,
2007/5/11,100.48,,558,
2007/5/18,104.46,,565,
2007/5/25,103.67,,565,
2007/6/1,103.21,,569,
2007/6/8,100.14,,537,
2007/6/15,99.29,,531,
2007/6/22,98.52,,530,
2007/6/29,99.86,,530,
2007/7/6,99.91,,532,
2007/7/13,100.28,,528,
2007/7/20,100.65,,526,
2007/7/27,102.56,,523,
2007/8/3,103.67,,535,
2007/8/10,105.37,,535,
2007/8/17,105.97,,561,
2007/8/24,,,535,
2007/8/31,108.64,,563,
2007/9/7,,,585,
2007/9/14,113.64,,595,
2007/9/21,113.41,,577,
2007/9/28,113.1,,569,
2007/10/5,,,573,
2007/10/12,113.27,,573,
2007/10/19,113.84,,573,
2007/10/26,114.86,,573,
2007/11/2,,,577,
2007/11/9,117.08,,597,
2007/11/16,,,608,
2007/11/23,121,,610,
2007/11/30,123.39,,617,
2007/12/7,128.93,,654,
2007/12/14,132.23,,654,
2007/12/21,,,654,
2007/12/28,,,654,
2007/12/29,131.26,,,
2008/1/3,,,680,
2008/1/4,130.49,,,
2008/1/10,,,684,
2008/1/11,130.43,,,
2008/1/18,130.18,,684,
2008/1/25,,,684,
2008/2/1,,,693,
2008/2/8,,,693,
2008/2/15,,,701,
2008/2/22,132.76,,730,
2008/2/29,138.31,,752,
2008/3/7,143.34,,762,
2008/3/14,143.45,,757,
2008/3/21,142.57,,740,
2008/3/28,142.14,,755,
2008/4/2,,,765,
2008/4/4,143.02,,,
2008/4/9,,,772,
2008/4/16,,,775,
2008/4/18,146.21,,,
2008/4/23,,,775,
2008/4/25,148.17,,,
2008/5/2,153.25,,775,
2008/5/9,160.24,,833,
2008/5/16,,,841,
2008/5/23,162.92,,841,
2008/5/30,162.38,,852,
2008/6/6,162.38,,860,
2008/6/13,162.92,,870,
2008/6/20,,,870,
2008/6/27,159.42,,870,
2008/7/4,158.68,,886,
2008/7/11,158.82,,892,
2008/7/18,,,907,
2008/7/25,,,886,
2008/7/30,,,886,
2008/8/1,156.61,,,
2008/8/7,,,889,
2008/8/8,155.75,,,
2008/8/15,153.59,,880,
2008/8/22,150.21,,845,
2008/8/29,145.95,,826,
2008/9/5,145.55,,830,
2008/9/11,,,811,
2008/9/19,141.66,,738,
2008/9/26,139.39,,675,
2008/10/3,,,526,
2008/10/10,131.57,,585,
2008/10/17,112.25,,526,
2008/10/24,105.94,,512,
2008/10/31,104.38,,512,
2008/11/7,107.05,,512,
2008/11/14,105.26,,497,
2008/11/21,104.01,,526,
2008/11/28,104.55,,534,
2008/12/5,106.28,,542,
2008/12/12,106.71,,539,
2008/12/19,106.25,,539,
2008/12/26,105.74,,549,
2009/1/4,,,609,
2009/1/9,108.44,,609,
2009/1/15,,,609,
2009/1/16,109.52,,,
2009/1/22,,,613,
2009/1/23,110.4,,,
2009/2/2,,,618,
2009/2/6,112.56,,618,
2009/2/13,112.7,,589,
2009/2/20,109.35,,548,
2009/2/27,105.09,,523,
2009/3/6,102.24,,,
2009/3/9,,,512,
2009/3/13,100.48,,504,
2009/3/20,98.47,,504,
2009/3/26,,,504,
2009/3/27,97.44,3562.22 ,,
2009/3/30,,3545.71 ,,
2009/3/31,,3550.57 ,,
2009/4/1,,3549.09 ,,
2009/4/2,,3475.11 ,483,
2009/4/3,98.24,3450.32 ,,
2009/4/7,,3492.95 ,,
2009/4/8,,3465.28 ,,
2009/4/9,,3470.01 ,476,
2009/4/10,96.65,3486.34 ,,
2009/4/13,,3471.55 ,,
2009/4/14,,3561.69 ,,
2009/4/15,,3564.40 ,,
2009/4/16,,3598.30 ,,
2009/4/17,96.36,3622.53 ,471,
2009/4/20,,3625.24 ,,
2009/4/21,,3526.32 ,,
2009/4/22,,3528.33 ,,
2009/4/23,,3515.54 ,,
2009/4/24,98.72,3503.51 ,482,
2009/4/27,,3501.47 ,,
2009/4/28,,3509.12 ,,
2009/4/29,,3522.04 ,495,
2009/4/30,,3554.52 ,,
2009/5/1,98.72,,,
2009/5/4,,3637.43 ,,
2009/5/5,,3579.01 ,,
2009/5/6,,3596.05 ,,
2009/5/7,,3594.97 ,493,
2009/5/8,100.14,3615.66 ,,
2009/5/11,,3640.22 ,,
2009/5/12,,3646.29 ,,
2009/5/13,,3640.42 ,509,
2009/5/14,,3595.80 ,,
2009/5/15,102.07,3605.63 ,,
2009/5/18,,3609.53 ,,
2009/5/19,,3619.78 ,,
2009/5/20,,3619.62 ,,
2009/5/21,,3625.47 ,513,
2009/5/22,102.64,3619.67 ,,
2009/5/25,,3610.75 ,,
2009/5/26,,3603.03 ,,
2009/5/27,,3611.95 ,513,
2009/5/29,103.89,,,
2009/6/1,,3648.70 ,,
2009/6/2,,3656.86 ,,
2009/6/3,,3671.88 ,,
2009/6/4,,3701.72 ,524,
2009/6/5,104.26,3757.61 ,,
2009/6/8,,3789.69 ,,
2009/6/9,,3780.94 ,,
2009/6/10,,3810.18 ,,
2009/6/11,,3880.29 ,,
2009/6/12,105.09,3866.53 ,537,
2009/6/15,,3851.11 ,,
2009/6/16,,3867.66 ,,
2009/6/17,,3854.82 ,,
2009/6/18,,3845.05 ,548,
2009/6/19,105.26,3909.10 ,,
2009/6/22,,3921.73 ,,
2009/6/23,,3884.13 ,,
2009/6/24,,3872.77 ,,
2009/6/25,,3869.10 ,558,
2009/6/26,107.27,3857.18 ,,
2009/6/29,,3832.36 ,,
2009/6/30,,3827.31 ,,
2009/7/1,,3841.99 ,,
2009/7/2,,3868.10 ,559,
2009/7/3,108.53,3860.67 ,,
2009/7/6,,3866.42 ,,
2009/7/7,,3871.76 ,,
2009/7/8,,3851.54 ,,
2009/7/9,,3866.85 ,,
2009/7/10,110.17,3892.07 ,568,
2009/7/13,,3905.32 ,,
2009/7/14,,3919.15 ,,
